n,parâmetro,cobertura_empírica,cobertura_teórica,diferença
30,β₀,0.0,0.95,-0.95
30,β₁,0.949,0.95,-0.0010000000000000009
100,β₀,0.0,0.95,-0.95
100,β₁,0.957,0.95,0.007000000000000006
