n,parâmetro,valor_verdadeiro,média_estimador,viés,variância,EQM
30,β₀,1.0,4.0107097591901235,3.0107097591901235,0.16354110709994238,9.227750820075496
30,β₁,0.2,0.19768154157784223,-0.0023184584221577764,0.0041105794703009775,0.00411184414028595
100,β₀,1.0,4.001912921622096,3.001912921622096,0.03436434429094502,9.045811168948369
100,β₁,0.2,0.20023155089102593,0.00023155089102591675,0.0011402873551777624,0.00113920068363772
