n,parâmetro,cobertura_empírica,cobertura_teórica,diferença
30,beta0,0.841,0.95,-0.10899999999999999
30,beta1,0.96,0.95,0.010000000000000009
100,beta0,0.807,0.95,-0.1429999999999999
100,beta1,0.942,0.95,-0.008000000000000007
