n,parâmetro,cobertura_empírica,cobertura_teórica,diferença
30,β₀,0.95,0.95,0.0
30,β₁,0.945,0.95,-0.0050000000000000044
100,β₀,0.952,0.95,0.0020000000000000018
100,β₁,0.948,0.95,-0.0020000000000000018
