scenario_label,n,model,parameter,bias,variance,mse,coverage,size_h0,power_h1
C5_erros_correlacionados_ar1,30,original_scale,beta0,-0.0034243009507886057,0.17426057892370972,0.17409804418178754,0.561,0.044,1.0
C5_erros_correlacionados_ar1,30,original_scale,beta1,0.0005685167163389515,0.023720127444894906,0.023696730528706772,0.94,0.044,1.0
C5_erros_correlacionados_ar1,100,original_scale,beta0,-0.007836281893170205,0.056076031982316,0.05608136326424291,0.594,0.055,1.0
C5_erros_correlacionados_ar1,100,original_scale,beta1,-0.000749495860183913,0.007393635262542908,0.007386803371324798,0.958,0.055,1.0
C1_classico_normal,30,original_scale,beta0,-0.0018373188505557136,0.03522939913559646,0.035197545477019476,0.948,0.052,1.0
C1_classico_normal,30,original_scale,beta1,0.004186940505778836,0.026347872998989958,0.026339055596789895,0.954,0.052,1.0
C1_classico_normal,100,original_scale,beta0,0.003528724222509716,0.009417646906558956,0.009420681154290924,0.953,0.046,1.0
C1_classico_normal,100,original_scale,beta1,-0.0030987161958360154,0.007403624261233169,0.007405822679034273,0.951,0.046,1.0
C6_relacao_exponencial_lognormal,30,log_transform,beta0,-0.002163619733960176,0.0055690435978015,0.00556815580455688,0.945,0.058,1.0
C6_relacao_exponencial_lognormal,30,log_transform,beta1,0.0004252088821274924,0.004226488221186585,0.004222442535558839,0.947,0.058,1.0
C6_relacao_exponencial_lognormal,30,original_scale,beta0,18.43959615954218,28.444357690418922,368.4346198597312,0.009,0.047,1.0
C6_relacao_exponencial_lognormal,30,original_scale,beta1,19.963951435788367,41.782466842364514,440.30004130603857,0.0,0.047,1.0
C6_relacao_exponencial_lognormal,100,log_transform,beta0,9.851343003153268e-05,0.0015395179110455424,0.0015379880980303936,0.953,0.062,1.0
C6_relacao_exponencial_lognormal,100,log_transform,beta1,0.0001937218309029376,0.001319557320620276,0.0013182752914474242,0.951,0.062,1.0
C6_relacao_exponencial_lognormal,100,original_scale,beta0,18.942199228017476,7.981345720228295,366.7802759684138,0.0,0.053,1.0
C6_relacao_exponencial_lognormal,100,original_scale,beta1,20.60580112021275,12.610963191166068,437.19739203373587,0.0,0.053,1.0
C2_caudas_pesadas,30,original_scale,beta0,0.004935891559817662,0.033248791005595954,0.033239905240080636,0.952,0.054,1.0
C2_caudas_pesadas,30,original_scale,beta1,-0.0010205612861737823,0.02582696907450722,0.02580218365077155,0.973,0.054,1.0
C2_caudas_pesadas,100,original_scale,beta0,0.0016221008627426148,0.009891654505878925,0.009884394062581958,0.947,0.04,1.0
C2_caudas_pesadas,100,original_scale,beta1,0.002533336934909425,0.007840835241583705,0.007839412202367897,0.939,0.04,1.0
C4a_media_erro_nao_nula_constante,30,original_scale,beta0,1.005623726630621,0.03505484960844952,1.0462988743212993,0.001,0.043,1.0
C4a_media_erro_nao_nula_constante,30,original_scale,beta1,0.003500056510039151,0.027222363757762377,0.02720739178957808,0.952,0.043,1.0
C4a_media_erro_nao_nula_constante,100,original_scale,beta0,1.0037652354887356,0.01018778179083208,1.017722241984797,0.0,0.06,1.0
C4a_media_erro_nao_nula_constante,100,original_scale,beta1,-0.0009267194583622018,0.0071305652354572875,0.007124293479176338,0.955,0.06,1.0
C4b_media_erro_dependente_X,30,original_scale,beta0,0.005662557343664165,0.035846542623467204,0.035842760636514016,0.943,0.947,1.0
C4b_media_erro_dependente_X,30,original_scale,beta1,0.6090886692193482,0.024899918346792293,0.395864025399842,0.045,0.947,1.0
C4b_media_erro_dependente_X,100,original_scale,beta0,0.0050948002257864555,0.010538467813337513,0.01055388633486485,0.935,1.0,1.0
C4b_media_erro_dependente_X,100,original_scale,beta1,0.6011496916797952,0.00762463508916993,0.36899796226079357,0.0,1.0,1.0
C3_erros_assimetricos,30,original_scale,beta0,0.006193006634852338,0.03408824155623115,0.03409250664585424,0.938,0.054,1.0
C3_erros_assimetricos,30,original_scale,beta1,0.0035287128590999473,0.027039341045266646,0.027024753518663357,0.95,0.054,1.0
C3_erros_assimetricos,100,original_scale,beta0,0.003116371498244064,0.009065905792826796,0.009066551658349038,0.955,0.046,1.0
C3_erros_assimetricos,100,original_scale,beta1,0.0015343194242274372,0.008006295771188303,0.008000643611512676,0.95,0.046,1.0
