beta0_hat,beta1_hat,ci_beta0_low,ci_beta0_high,ci_beta1_low,ci_beta1_high,pvalue_beta1,scenario,scenario_label,n,model
0.109037998161445,2.0610944192357117,-0.6428629856077307,0.8609389819306207,1.921180365528231,2.2010084729431925,6.705023346549534e-23,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.767674126532063,2.02916378066926,-0.017816842402715194,1.5531650954668412,1.8829992882870823,2.175328273051438,3.3548364858625894e-22,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.2565893660974825,1.949804511471155,0.7800483950450816,1.7331303371498834,1.8611295656246831,2.038479457317627,1.1301843612384077e-27,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.004258433703780762,2.0861438998169093,-0.5346564950341953,0.5431733624417568,1.9858623814908796,2.186425418142939,5.2197264981671684e-27,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.7223704491133062,2.0754142087121408,0.19466611658174515,1.2500747816448672,1.9772187628791333,2.173609654545148,3.369099581717325e-27,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.0148934640435536,1.9030619842993666,0.5462759711880711,1.4835109568990361,1.8158614426336637,1.9902625259650695,1.3903343413899091e-27,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.3729033649885705,1.98207198240336,0.7561030577033199,1.989703672273821,1.8672975198302508,2.0968464449764688,8.73572486233924e-25,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.8802996144666384,1.939468470140942,1.3173032360678336,2.443295992865443,1.8347058654565607,2.044231074825323,1.2952761223384934e-25,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.20741337533342386,2.025521031027153,-0.3918597241845486,0.8066864748513963,1.9140080387032252,2.1370340233510814,2.1849077135404464e-25,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.3810628776152494,1.9065578401983327,0.25697708147662635,2.5051486737538724,1.6973874788771444,2.1157282015195213,2.443036533975916e-17,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.8638100937589488,1.9193310606917586,-0.01841260329981076,1.7460327908177082,1.7551666873463836,2.083495434037134,3.4236970359126836e-20,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.111105078693118,2.009596880269518,0.11463502894169364,2.1075751284445423,1.8241733111182676,2.195020449420768,2.5812026030026776e-19,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.3591858587168582,2.0285702760465534,0.7534850702023529,1.9648866472313635,1.9158612166301636,2.141279335462943,2.810085900835986e-25,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.38744948075067,1.993110365883362,-0.2981147244435278,1.0730136859448678,1.8655402880459409,2.1206804437207833,1.3508500027274663e-23,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
1.8122874729092757,1.9167847560783005,1.2052507937177226,2.419324152100829,1.8038271135585893,2.0297423985980116,1.4124354543456474e-24,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.8571361892699434,2.027394255008997,0.2586974304736921,1.4555749480661948,1.9160365171601519,2.1387519928578427,2.05016728897575e-25,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
-0.19622453015828456,2.176744632378691,-1.0048214360042689,0.6123723756876999,2.0262805774640236,2.3272086872933584,1.0966548812723937e-22,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
0.7054533567386765,2.0517823307429173,0.22515109632481334,1.1857556171525396,1.9624074825780697,2.141157178907765,3.4311611373333865e-28,ar1_errors,C5_erros_correlacionados_ar1,30,original_scale
