n,parâmetro,cobertura_empírica,cobertura_teórica,diferença
30,β₀,0.947,0.95,-0.0030000000000000027
30,β₁,0.942,0.95,-0.008000000000000007
100,β₀,0.942,0.95,-0.008000000000000007
100,β₁,0.951,0.95,0.0010000000000000009
