n,parâmetro,valor_verdadeiro,média_estimador,viés,variância,desvio_padrão,EQM
30,β₀,1.0,0.9979099534783809,-0.002090046521619149,0.14795858324488786,0.3846538486027247,0.14781499295610553
30,β₁,0.2,0.20063095051040625,0.0006309505104062363,0.0036180951620993764,0.06015060400444352,0.0036148751654838584
100,β₀,1.0,1.0055000616895697,0.005500061689569735,0.036856412447445766,0.1919802397317124,0.03684980671358739
100,β₁,0.2,0.19878936197813635,-0.0012106380218636636,0.00125655436860113,0.03544791063802111,0.0012567634586525109
