n,parâmetro,valor_verdadeiro,média_estimador,viés,variância,desvio_padrão,EQM
30,β₀,1.0,1.0046389305541057,0.004638930554105691,0.1587894524684011,0.3984839425477532,0.1586521826926185
30,β₁,2.0,2.000599063364063,0.0005990633640631238,0.00405854917552156,0.0637067435639396,0.004054849503260202
100,β₀,1.0,0.9974127311704333,-0.0025872688295667245,0.03395581234000615,0.18427102957330582,0.03392855048766259
100,β₁,2.0,1.9990266352609969,-0.000973364739003113,0.001147203147920936,0.03387038747816352,0.0011470033836881496
